,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
673,,2021,BPCL-TOTAL,2601.0,
674,,2021,"HPCL-MUMBAI,MAHARASHTRA",119.0,
675,,2021,"IOCL-KOYALI, GUJARAT",1072.0,
676,,2021,"IOCL-HALDIA, WEST BENGAL",606.0,
677,,2021,"IOCL-PANIPAT, HARYANA",1213.0,
678,,2021,BORL-BINA,425.0,
679,,2021,HPCL-TOTAL,1848.0,
680,,2021,"NEL-VADINAR,GUJARAT",1650.0,
681,,2021,"IOCL-PANIPAT, HARYANA",1343.0,
682,,2021,"IOCL-GUWAHATI,ASSAM",,
683,,2021,"IOCL-BONGAIGAON,ASSAM",226.0,
684,,2021,CPCL-TOTAL,819.0,
685,,2021,ONGC TOTAL,1108.0,
686,,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1098.0,
687,,2021,"IOCL-DIGBOI,ASSAM",56.0,
688,,2021,"IOCL-PARADIP,ODISHA",663.0,
689,,2021,"CPCL-MANALI, TAMILNADU",629.0,
690,,2021,CPCL-TOTAL,629.0,
691,,2021,BPCL-TOTAL,2971.0,
692,,2021,"NRL-NUMALIGARH, ASSAM",212.0,
693,,2021,"MRPL-MANGALORE,KARNATAKA",1007.0,
694,,2021,ONGC TOTAL,1013.0,
695,,2021,"NEL-VADINAR,GUJARAT",1710.0,
696,,2021,"IOCL-BARAUNI,BIHAR",56.0,
697,,2021,"IOCL-KOYALI, GUJARAT",1005.0,
698,,2021,"IOCL-HALDIA, WEST BENGAL",642.0,
699,,2021,"IOCL-MATHURA, UTTAR PRADESH",723.0,
700,,2021,CPCL-TOTAL,497.0,
701,,2021,"BPCL-KOCHI, KERALA",1338.0,
702,,2021,BPCL-TOTAL,2874.0,
703,,2021,"HPCL-VISAKH,ANDHRA PRADESH",546.0,
704,,2021,"IOCL-MATHURA, UTTAR PRADESH",854.0,
705,,2021,"IOCL-GUWAHATI,ASSAM",93.0,
706,,2021,ONGC TOTAL,1469.0,
707,,2021,RIL TOTAL,5754.0,
708,,2021,"NEL-VADINAR,GUJARAT",1749.0,
709,,2021,"CPCL-MANALI, TAMILNADU",816.0,
710,,2021,"BPCL-MUMBAI, MAHARASHTRA",1294.0,
711,,2021,BPCL-TOTAL,3407.0,
712,,2021,ONGC TOTAL,1475.0,
713,,2021,"RIL,JAMNAGAR,GUJARAT",2997.0,
714,,2021,"IOCL-GUWAHATI,ASSAM",84.0,
715,,2021,"IOCL-DIGBOI,ASSAM",62.0,
716,,2021,"IOCL-PARADIP,ODISHA",1330.0,
717,,2021,"BPCL-KOCHI, KERALA",1360.0,
718,,2021,"NRL-NUMALIGARH, ASSAM",137.0,
719,,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2510.0,
720,,2022,"IOCL-BARAUNI,BIHAR",619.0,
721,,2022,"IOCL-BONGAIGAON,ASSAM",207.0,
722,,2022,BORL-BINA,722.0,
723,,2022,ONGC TOTAL,1448.0,
724,,2022,"HPCL-VISAKH,ANDHRA PRADESH",793.0,
725,,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1100.0,
726,,2022,HPCL-TOTAL,2745.0,
727,,2022,GRAND TOTAL,21709.0,
728,,2022,"IOCL-HALDIA, WEST BENGAL",630.0,
729,,2022,"IOCL-MATHURA, UTTAR PRADESH",781.0,
730,,2022,"IOCL-PANIPAT, HARYANA",1122.0,
731,,2022,"CPCL-MANALI, TAMILNADU",928.0,
732,,2022,"BPCL-KOCHI, KERALA",1394.0,
733,,2022,BPCL-TOTAL,3225.0,
734,,2022,"HPCL-VISAKH,ANDHRA PRADESH",761.0,
735,,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1010.0,
736,,2022,RIL TOTAL,4790.0,
737,,2022,"IOCL-HALDIA, WEST BENGAL",747.0,
738,,2022,"BPCL-MUMBAI, MAHARASHTRA",1268.0,
739,,2022,"BPCL-KOCHI, KERALA",1522.0,
740,,2022,RIL TOTAL,5129.0,
741,,2022,"NEL-VADINAR,GUJARAT",1690.0,
742,,2020,"IOCL-DIGBOI,ASSAM",54.0,
743,,2020,IOCL TOTAL,3046.0,
744,,2020,"CPCL-MANALI, TAMILNADU",308.0,
745,,2020,CPCL-TOTAL,308.0,
746,,2020,"BPCL-KOCHI, KERALA",815.0,
747,,2020,"RIL,JAMNAGAR,GUJARAT",2792.0,
748,,2020,"NEL-VADINAR,GUJARAT",1402.0,
