,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
455,,2020,"IOCL-GUWAHATI,ASSAM",,
456,,2020,"IOCL-PARADIP,ODISHA",725.0,
457,,2020,BORL-BINA,332.0,
458,,2020,"HMEL-GGSR, BATHINDA, PUNJAB",593.0,
459,,2020,"IOCL-PANIPAT, HARYANA",919.0,
460,,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",6.0,
461,,2020,"HPCL-VISAKH,ANDHRA PRADESH",743.0,
462,,2020,HPCL-TOTAL,1920.0,
463,,2020,RIL TOTAL,5312.0,
464,,2020,GRAND TOTAL,16347.0,
465,,2020,"IOCL-BARAUNI,BIHAR",512.0,
466,,2020,"IOCL-HALDIA, WEST BENGAL",533.0,
467,,2020,"IOCL-GUWAHATI,ASSAM",64.0,
468,,2020,"NRL-NUMALIGARH, ASSAM",250.0,
469,,2020,"RIL,JAMNAGAR,GUJARAT",2605.0,
470,,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2047.0,
471,,2020,"NEL-VADINAR,GUJARAT",1394.0,
472,,2020,"IOCL-MATHURA, UTTAR PRADESH",754.0,
473,,2020,"IOCL-PANIPAT, HARYANA",1115.0,
474,,2020,"BPCL-KOCHI, KERALA",844.0,
475,,2020,"MRPL-MANGALORE,KARNATAKA",766.0,
476,,2020,"IOCL-BARAUNI,BIHAR",318.0,
477,,2020,"IOCL-GUWAHATI,ASSAM",89.0,
478,,2020,BORL-BINA,451.0,
479,,2020,HPCL-TOTAL,2357.0,
480,,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",1369.0,
481,,2020,"NEL-VADINAR,GUJARAT",1539.0,
482,,2020,"IOCL-BARAUNI,BIHAR",376.0,
483,,2020,"IOCL-PANIPAT, HARYANA",1025.0,
484,,2020,"IOCL-DIGBOI,ASSAM",46.0,
485,,2020,"NEL-VADINAR,GUJARAT",1460.0,
486,,2020,GRAND TOTAL,17707.0,
487,,2020,"IOCL-KOYALI, GUJARAT",1049.0,
488,,2020,IOCL TOTAL,5662.0,
489,,2020,"CPCL-MANALI, TAMILNADU",725.0,
490,,2020,CPCL-TOTAL,725.0,
491,,2020,"IOCL-BARAUNI,BIHAR",579.0,
492,,2020,"IOCL-PANIPAT, HARYANA",1359.0,
493,,2020,"IOCL-GUWAHATI,ASSAM",83.0,
494,,2020,BORL-BINA,594.0,
495,,2020,BPCL-TOTAL,3409.0,
496,,2020,"MRPL-MANGALORE,KARNATAKA",1011.0,
497,,2020,HPCL-TOTAL,2457.0,
498,,2020,"IOCL-BONGAIGAON,ASSAM",204.0,
499,,2020,"CPCL-MANALI, TAMILNADU",766.0,
500,,2020,"BPCL-MUMBAI, MAHARASHTRA",1200.0,
501,,2020,BORL-BINA,625.0,
502,,2020,"NRL-NUMALIGARH, ASSAM",260.0,
503,,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.0,
504,,2020,"MRPL-MANGALORE,KARNATAKA",1307.0,
505,,2020,"HPCL-MUMBAI,MAHARASHTRA",578.0,
506,,2020,"NEL-VADINAR,GUJARAT",1544.0,
507,,2021,"IOCL-BARAUNI,BIHAR",589.0,
508,,2021,"IOCL-PANIPAT, HARYANA",1321.0,
509,,2021,"IOCL-GUWAHATI,ASSAM",90.0,
510,,2021,"CPCL-MANALI, TAMILNADU",917.0,
511,,2021,"HPCL-VISAKH,ANDHRA PRADESH",800.0,
512,,2021,"RIL,JAMNAGAR,GUJARAT",2916.0,
513,,2021,CPCL-TOTAL,758.0,
514,,2021,"BPCL-KOCHI, KERALA",1410.0,
515,,2021,BORL-BINA,601.0,
516,,2021,"MRPL-MANGALORE,KARNATAKA",1297.0,
517,,2021,ONGC TOTAL,1305.0,
518,,2021,GRAND TOTAL,18617.0,
519,,2021,"IOCL-BONGAIGAON,ASSAM",230.0,
520,,2021,"HPCL-VISAKH,ANDHRA PRADESH",867.0,
521,,2021,HPCL-TOTAL,2606.0,
522,,2023,"IOCL-MATHURA, UTTAR PRADESH",836.71,
523,,2023,HPCL-TOTAL,2754.96,
524,,2023,"IOCL-GUWAHATI,ASSAM",96.3,
525,,2023,"IOCL-DIGBOI,ASSAM",64.4,
526,,2023,BORL-BINA,660.48,
527,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1101.06,
528,,2023,IOCL TOTAL,6297.37,
529,,2023,"MRPL-MANGALORE,KARNATAKA",1452.47,
530,,2023,ONGC TOTAL,1458.08,
531,,2023,"HPCL-VISAKH,ANDHRA PRADESH",1049.8,
532,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1062.37,
533,,2023,"RIL,JAMNAGAR,GUJARAT",2783.26,
534,,2023,"IOCL-KOYALI, GUJARAT",1330.93,
535,,2023,"IOCL-DIGBOI,ASSAM",63.47,
536,,2023,CPCL-TOTAL,1040.15,
537,,2023,"BPCL-MUMBAI, MAHARASHTRA",1367.99,
538,,2023,BORL-BINA,48.04,
539,,2023,RIL TOTAL,5516.03,
540,,2023,GRAND TOTAL,21885.12,
541,,2023,"CPCL-MANALI, TAMILNADU",1000.38,
542,,2023,HPCL-TOTAL,2996.38,
543,,2023,"RIL,JAMNAGAR,GUJARAT",2939.45,
544,,2023,"IOCL-MATHURA, UTTAR PRADESH",721.79,
545,,2023,"IOCL-DIGBOI,ASSAM",51.97,
546,,2023,"BPCL-KOCHI, KERALA",1299.36,
547,,2023,BPCL-TOTAL,3334.08,
548,,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.18,
549,,2023,"HPCL-MUMBAI,MAHARASHTRA",846.75,
