,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
238,,2023,"IOCL-PARADIP,ODISHA",1425.16,
239,,2023,"CPCL-MANALI, TAMILNADU",990.3,
240,,2023,CPCL-TOTAL,990.3,
241,,2023,"MRPL-MANGALORE,KARNATAKA",1496.59,
242,,2023,ONGC TOTAL,1503.17,
243,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1116.62,
244,,2023,"NEL-VADINAR,GUJARAT",1719.37,
245,,2023,"CPCL-MANALI, TAMILNADU",927.88,
246,,2023,"BPCL-MUMBAI, MAHARASHTRA",1293.12,
247,,2023,GRAND TOTAL,20847.79,
248,,2023,"IOCL-GUWAHATI,ASSAM",96.81,
249,,2023,"CPCL-MANALI, TAMILNADU",1033.64,
250,,2023,BORL-BINA,735.71,
251,,2021,"IOCL-KOYALI, GUJARAT",998.0,
252,,2021,"IOCL-HALDIA, WEST BENGAL",696.0,
253,,2021,"IOCL-GUWAHATI,ASSAM",62.0,
254,,2021,"IOCL-DIGBOI,ASSAM",56.0,
255,,2021,"IOCL-BONGAIGAON,ASSAM",225.0,
256,,2021,IOCL TOTAL,5980.0,
257,,2021,"CPCL-MANALI, TAMILNADU",760.0,
258,,2021,BPCL-TOTAL,3236.0,
259,,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2248.0,
260,,2021,"CPCL-MANALI, TAMILNADU",629.0,
261,,2021,"BPCL-MUMBAI, MAHARASHTRA",1172.0,
262,,2021,"NRL-NUMALIGARH, ASSAM",226.0,
263,,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.0,
264,,2021,"NEL-VADINAR,GUJARAT",1692.0,
265,,2021,"IOCL-BARAUNI,BIHAR",442.0,
266,,2021,"IOCL-MATHURA, UTTAR PRADESH",698.0,
267,,2021,IOCL TOTAL,5358.0,
268,,2021,CPCL-TOTAL,646.0,
269,,2021,"NRL-NUMALIGARH, ASSAM",193.0,
270,,2021,"HPCL-MUMBAI,MAHARASHTRA",304.0,
271,,2021,"HPCL-VISAKH,ANDHRA PRADESH",481.0,
272,,2021,RIL TOTAL,5219.0,
273,,2021,GRAND TOTAL,18400.0,
274,,2021,"IOCL-DIGBOI,ASSAM",60.0,
275,,2021,"NRL-NUMALIGARH, ASSAM",227.0,
276,,2021,"HPCL-MUMBAI,MAHARASHTRA",319.0,
277,,2021,"HPCL-VISAKH,ANDHRA PRADESH",480.0,
278,,2021,GRAND TOTAL,19384.0,
279,,2021,"IOCL-PANIPAT, HARYANA",1150.0,
280,,2021,"IOCL-GUWAHATI,ASSAM",64.0,
281,,2021,"HPCL-VISAKH,ANDHRA PRADESH",479.0,
282,,2021,HPCL-TOTAL,1890.0,
283,,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2237.0,
284,,2021,"IOCL-PARADIP,ODISHA",838.0,
285,,2021,GRAND TOTAL,18214.0,
286,,2021,"IOCL-HALDIA, WEST BENGAL",736.0,
287,,2021,"IOCL-BONGAIGAON,ASSAM",215.0,
288,,2021,CPCL-TOTAL,500.0,
289,,2021,"BPCL-KOCHI, KERALA",1444.0,
290,,2021,GRAND TOTAL,20958.0,
291,,2021,"IOCL-KOYALI, GUJARAT",1123.0,
292,,2021,"IOCL-MATHURA, UTTAR PRADESH",852.0,
293,,2021,"IOCL-BONGAIGAON,ASSAM",217.0,
294,,2021,IOCL TOTAL,5982.0,
295,,2021,BORL-BINA,684.0,
296,,2021,"HPCL-VISAKH,ANDHRA PRADESH",819.0,
297,,2021,"IOCL-HALDIA, WEST BENGAL",264.0,
298,,2021,"IOCL-BONGAIGAON,ASSAM",206.0,
299,,2021,"BPCL-MUMBAI, MAHARASHTRA",1304.0,
300,,2021,BORL-BINA,657.0,
301,,2022,"IOCL-PANIPAT, HARYANA",1221.0,
302,,2022,"IOCL-PARADIP,ODISHA",1325.0,
303,,2022,"BPCL-MUMBAI, MAHARASHTRA",1303.0,
304,,2022,BPCL-TOTAL,3475.0,
305,,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2235.0,
306,,2022,"IOCL-BONGAIGAON,ASSAM",181.0,
307,,2022,"NRL-NUMALIGARH, ASSAM",234.0,
308,,2022,"IOCL-BARAUNI,BIHAR",596.0,
309,,2022,"MRPL-MANGALORE,KARNATAKA",1504.0,
310,,2022,GRAND TOTAL,22337.0,
311,,2020,"IOCL-BARAUNI,BIHAR",247.0,
312,,2020,"IOCL-KOYALI, GUJARAT",578.0,
